,Time,No.,Length,src_port,dst_port,Syn,Acknowledgment,Reset,Time to live,Protocol
197,165.746941538,198,54,443.0,45320.0,Not set,Set,Not set,64.0,HTTP
198,165.89976577299998,199,54,45320.0,443.0,Not set,Set,Not set,64.0,TCP
199,165.985915916,200,54,2191.0,443.0,Set,Not set,Not set,64.0,TCP
200,165.985931108,201,58,443.0,2191.0,Set,Set,Not set,64.0,TCP
201,165.986091754,202,54,45320.0,443.0,Not set,Set,Not set,64.0,TCP
202,165.986098299,203,54,443.0,45320.0,Not set,Set,Not set,64.0,TCP
203,166.065511774,204,54,2191.0,443.0,Not set,Set,Not set,64.0,TCP
204,166.105889991,205,146,2191.0,443.0,Not set,Set,Not set,64.0,HTTP
205,166.10590322,206,54,443.0,2191.0,Not set,Set,Not set,64.0,TCP
206,166.209323964,207,145,443.0,2191.0,Not set,Set,Not set,64.0,TCP
207,166.209380457,208,54,443.0,2191.0,Not set,Set,Not set,64.0,HTTP
208,166.27816127,209,54,2191.0,443.0,Not set,Set,Not set,64.0,TCP
209,166.32001378799998,210,54,2191.0,443.0,Not set,Set,Not set,64.0,TCP
210,166.320024321,211,54,443.0,2191.0,Not set,Set,Not set,64.0,TCP
211,166.75481216,212,54,42223.0,443.0,Set,Not set,Not set,64.0,TCP
212,166.754828827,213,58,443.0,42223.0,Set,Set,Not set,64.0,TCP
213,166.827072125,214,54,42223.0,443.0,Not set,Set,Not set,64.0,TCP
214,166.865127677,215,146,42223.0,443.0,Not set,Set,Not set,64.0,HTTP
215,166.865139615,216,54,443.0,42223.0,Not set,Set,Not set,64.0,TCP
216,166.972366648,217,145,443.0,42223.0,Not set,Set,Not set,64.0,TCP
217,166.972434195,218,54,443.0,42223.0,Not set,Set,Not set,64.0,HTTP
218,167.02734992,219,54,42223.0,443.0,Not set,Set,Not set,64.0,TCP
